datetime,AGG. ASSAULT,ARSON,AUTO THEFT,BURGLARY,COMMON ASSAULT,HOMICIDE,LARCENY,LARCENY FROM AUTO,RAPE,ROBBERY - CARJACKING,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,ROBBERY - STREET,SHOOTING
2014-01-01,22,0,9,20,19,2,34,15,3,0,2,1,8,2
2014-01-02,6,0,7,28,23,3,26,10,0,1,1,1,4,0
2014-01-03,11,0,3,13,17,1,16,6,0,0,1,1,2,1
2014-01-04,14,0,14,20,23,0,23,15,0,0,1,1,7,0
2014-01-05,9,0,11,14,22,0,19,13,1,2,0,1,10,2
2014-01-06,3,2,5,26,23,2,37,11,1,0,0,1,6,0
2014-01-07,3,0,11,12,12,0,32,11,2,0,1,0,2,0
2014-01-08,9,0,12,24,26,1,23,12,0,1,0,1,6,1
2014-01-09,11,0,5,25,20,1,46,9,0,0,1,3,9,1
2014-01-10,9,0,9,22,27,3,33,24,0,2,1,0,11,0
2014-01-11,12,0,14,17,19,1,18,16,1,0,3,2,7,0
2014-01-12,13,0,8,13,29,2,17,11,1,0,2,2,4,2
2014-01-13,12,1,15,24,29,0,20,15,0,0,0,0,10,1
2014-01-14,9,1,11,26,18,0,39,19,1,0,0,1,12,1
2014-01-15,4,2,10,24,32,0,34,15,0,0,0,7,7,0
2014-01-16,9,2,13,24,17,0,37,22,0,0,3,3,9,0
2014-01-17,4,0,13,24,19,1,34,30,2,1,0,2,8,1
2014-01-18,13,4,5,11,9,1,32,16,2,0,0,2,5,1
2014-01-19,16,0,12,16,15,0,23,20,0,0,0,1,2,2
2014-01-20,8,0,15,19,21,0,30,25,2,0,1,1,4,2
2014-01-21,5,0,12,18,7,0,15,10,0,0,5,2,3,1
2014-01-22,11,0,15,9,12,0,27,17,2,0,2,0,8,1
2014-01-23,5,1,3,25,16,0,21,20,0,0,3,7,5,2
2014-01-24,8,1,11,14,15,0,33,15,0,1,3,7,8,0
2014-01-25,9,0,12,20,20,2,25,18,1,0,1,1,3,0
2014-01-26,3,2,20,16,21,0,18,19,0,1,2,0,1,0
2014-01-27,8,0,14,15,24,1,35,16,0,0,0,0,13,1
