CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/2/2022,12:50,QUEENS,11373,40.735065,-73.88184,"(40.735065, -73.88184)",GRAND AVENUE,VANKLEECK STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4492016,Sedan,Bike,,,
1/2/2022,1:35,,,40.710976,-73.97962,"(40.710976, -73.97962)",FDR DRIVE,,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4491976,Sedan,,,,
1/2/2022,0:30,,,40.69919,-73.91469,"(40.69919, -73.91469)",IRVING AVENUE,,,0,0,0,0,0,0,0,0,Turning Improperly,,,,,4491657,Sedan,,,,
1/2/2022,8:44,BRONX,10460,40.842224,-73.88776,"(40.842224, -73.88776)",,,1902      MARMION AVENUE,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4491839,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,4:15,,,40.74321,-73.89608,"(40.74321, -73.89608)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4491367,Sedan,,,,
1/2/2022,22:45,,,,,,NEW ENGLAND THRUWAY,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,4491741,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
1/2/2022,3:00,,,40.76294,-73.86067,"(40.76294, -73.86067)",GRAND CENTRAL PKWY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491464,Ambulance,,,,
1/2/2022,8:40,BRONX,10460,40.842117,-73.88786,"(40.842117, -73.88786)",MARMION AVENUE,FAIRMOUNT PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491595,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,11:15,,,40.676003,-73.865395,"(40.676003, -73.865395)",GRANT AVENUE,CONDUIT BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491561,Sedan,,,,
1/2/2022,16:00,QUEENS,11421,40.695827,-73.855385,"(40.695827, -73.855385)",85 ROAD,90 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4491510,Sedan,,,,
1/2/2022,15:05,STATEN ISLAND,10305,40.59075,-74.08837,"(40.59075, -74.08837)",HYLAN BOULEVARD,BURGHER AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Traffic Control Disregarded,,,,4491548,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,18:53,,,40.68484,-73.83596,"(40.68484, -73.83596)",103 AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4491515,Pick-up Truck,,,,
1/2/2022,22:30,QUEENS,11102,40.766884,-73.921394,"(40.766884, -73.921394)",30 AVENUE,31 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4491588,Garbage or Refuse,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,12:58,BROOKLYN,11209,40.634735,-74.02941,"(40.634735, -74.02941)",,,7100      RIDGE BOULEVARD,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4491480,Sedan,,,,
1/2/2022,16:47,BROOKLYN,11234,40.599617,-73.911316,"(40.599617, -73.911316)",,,2875      FLATBUSH AVENUE,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,4491905,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
1/2/2022,18:20,BROOKLYN,11206,40.708416,-73.94736,"(40.708416, -73.94736)",,,71        SCHOLES STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491504,Sedan,,,,
1/2/2022,16:46,QUEENS,11368,40.73745,-73.863045,"(40.73745, -73.863045)",,,97-28     57 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4491569,Sedan,,,,
1/2/2022,17:56,,,40.584137,-73.96386,"(40.584137, -73.96386)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491775,Sedan,,,,
1/2/2022,21:15,,,,,,CROSS BAY BOULEVARD,NORTH CHANNEL BRIDGE,,0,0,0,0,0,0,0,0,Following Too Closely,Passing or Lane Usage Improper,,,,4491958,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,17:19,QUEENS,11361,40.76268,-73.77052,"(40.76268, -73.77052)",BELL BOULEVARD,42 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4491596,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,5:05,BRONX,10468,40.867878,-73.893005,"(40.867878, -73.893005)",GRAND CONCOURSE,EAST 196 STREET,,1,0,0,0,0,0,1,0,Pavement Slippery,Pavement Slippery,,,,4491673,Sedan,Sedan,,,
1/2/2022,19:10,,,40.794907,-73.94856,"(40.794907, -73.94856)",MADISON AVENUE,,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4491520,Sedan,Sedan,,,
1/2/2022,11:20,BROOKLYN,11225,40.661617,-73.960754,"(40.661617, -73.960754)",,,1119      WASHINGTON AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4491860,Station Wagon/Sport Utility Vehicle,,,,
