id,impact.gap,impact.magnitude,impact.significance,location.depth,location.distance,location.full,location.latitude,location.longitude,location.name,time.day,time.epoch,time.full,time.hour,time.minute,time.month,time.second,time.year
nc72666881,122,1.43,31,15.12,0.1034,"13km E of Livermore, California",37.6723333,-121.619,California,27,1.46959E+12,7/27/2016 0:19,0,19,7,43,2016
us20006i0y,30,4.9,371,97.07,1.439,"58km WNW of Pakokku, Burma",21.5146,94.5721,Burma,27,1.46959E+12,7/27/2016 0:20,0,20,7,28,2016
nc72666891,249,0.06,0,4.39,0.02743,"12km SE of Mammoth Lakes, California",37.5765,-118.8591667,California,27,1.46959E+12,7/27/2016 0:31,0,31,7,37,2016
nc72666896,122,0.4,2,1.09,0.02699,"6km SSW of Mammoth Lakes, California",37.5958333,-118.9948333,California,27,1.46959E+12,7/27/2016 0:35,0,35,7,44,2016
nn00553447,113.61,0.3,1,7.6,0.063,"16km SSE of Mogul, Nevada",39.3775,-119.845,Nevada,27,1.46959E+12,7/27/2016 0:41,0,41,7,59,2016
ak13805337,50.39999597,1.8,50,1.3,0.04491576,"91km N of Redoubt Volcano, Alaska",61.2963,-152.46,Alaska,27,1.4696E+12,7/27/2016 0:52,0,52,7,52,2016
hv61354276,93,1,15,2.452,0.0266,"27km E of Honaunau-Napoopoo, Hawaii",19.4235,-155.6098333,Hawaii,27,1.4696E+12,7/27/2016 0:53,0,53,7,35,2016
ak13805339,86.39999309,2,62,0.1,0.04581408,"92km NW of Nikiski, Alaska",61.3019,-152.4507,Alaska,27,1.4696E+12,7/27/2016 0:58,0,58,7,45,2016
ci37640584,149,1.2,22,0.18,0.1688,"12km SE of Bodfish, CA",35.503,-118.4058333,California,27,1.4696E+12,7/27/2016 1:03,1,3,7,0,2016
nc72666901,87,1.67,43,12.91,0.106,"13km E of Livermore, California",37.673,-121.6133333,California,27,1.4696E+12,7/27/2016 1:04,1,4,7,32,2016
ci37640592,75,0.48,4,13.85,0.04401,"14km WNW of Anza, CA",33.5888333,-116.8165,California,27,1.4696E+12,7/27/2016 1:09,1,9,7,51,2016
nn00553416,117.62,0.9,12,11.2,0.181,"30km SSW of Hawthorne, Nevada",38.2638,-118.7351,Nevada,27,1.4696E+12,7/27/2016 1:13,1,13,7,31,2016
nc71104689,190,0.51,4,4.3,0.0986,"14km S of Ridgemark, California",36.6811667,-121.3368333,California,27,1.4696E+12,7/27/2016 1:17,1,17,7,18,2016
nc71104624,315,0.53,4,2.77,0.05199,"27km NE of Hollister, California",37.0286667,-121.19,California,27,1.4696E+12,7/27/2016 1:17,1,17,7,29,2016
uu60156827,120,0.14,0,6.15,0.02632,"11km NW of West Yellowstone, Montana",44.7263333,-111.2098333,Montana,27,1.4696E+12,7/27/2016 1:20,1,20,7,26,2016
pr16209000,154.8,1.6,39,19,0.11678099,"2km WSW of Sabana Grande, Puerto Rico",18.072,-66.9848,Puerto Rico,27,1.4696E+12,7/27/2016 1:31,1,31,7,14,2016
ak13805345,255.5999796,2.1,68,13.4,0.3494446,"66km SSE of Little Sitkin Island, Alaska",51.3716,178.7402,Alaska,27,1.4696E+12,7/27/2016 1:40,1,40,7,42,2016
ci37640600,92,0.73,8,1.5,0.08636,"24km E of Coso Junction, CA",36.0758333,-117.6788333,California,27,1.4696E+12,7/27/2016 1:42,1,42,7,44,2016
nc71104629,163,0.22,1,1.8,0.0528,"26km NE of Hollister, California",37.0263333,-121.1936667,California,27,1.4696E+12,7/27/2016 1:44,1,44,7,49,2016
nc72666906,64,1.22,23,1.41,0.006449,"2km E of The Geysers, California",38.7763333,-122.7245,California,27,1.4696E+12,7/27/2016 1:45,1,45,7,59,2016
nc72666911,54,0.55,5,2.41,0.005954,"9km WNW of Cobb, California",38.8415,-122.8288333,California,27,1.4696E+12,7/27/2016 1:48,1,48,7,58,2016
hv61354336,48,1.47,33,1.49,0.005541,"5km WSW of Volcano, Hawaii",19.4074993,-155.2843323,Hawaii,27,1.4696E+12,7/27/2016 1:49,1,49,7,34,2016
ak13805346,53.99999568,1.2,22,15.4,0.2299687,"27km NNE of Talkeetna, Alaska",62.5408,-149.8593,Alaska,27,1.4696E+12,7/27/2016 1:50,1,50,7,32,2016
ci37640608,98,0.81,10,2.04,0.138,"17km NE of Coachella, CA",33.7878333,-116.037,California,27,1.4696E+12,7/27/2016 1:58,1,58,7,26,2016
ak13831347,107.9999914,1.6,39,70.5,0.5713285,"78km SW of Homer, Alaska",59.1835,-152.5865,Alaska,27,1.4696E+12,7/27/2016 2:15,2,15,7,8,2016
ci37640616,64,0.75,9,3.18,0.04043,"20km E of Little Lake, CA",35.9231667,-117.6898333,California,27,1.4696E+12,7/27/2016 2:20,2,20,7,53,2016
nc72666931,55,1.4,30,2.05,0.01002,"7km WNW of Cobb, California",38.8348333,-122.8023333,California,27,1.4696E+12,7/27/2016 2:22,2,22,7,7,2016
ak13805347,79.19999366,0.8,10,9.7,0.3593261,"40km SW of Manley Hot Springs, Alaska",64.7377,-151.2365,Alaska,27,1.4696E+12,7/27/2016 2:26,2,26,7,9,2016
ci37640624,56,1.13,20,2.7,0.04073,"7km NE of Little Lake, CA",35.978,-117.8535,California,27,1.4696E+12,7/27/2016 2:38,2,38,7,29,2016
nc72666946,78,0.47,3,4.91,0.0235,"2km ESE of Mammoth Lakes, California",37.6363333,-118.9426667,California,27,1.4696E+12,7/27/2016 2:42,2,42,7,50,2016
us20006i18,45,5.6,482,98.84,1.358,"155km SSE of San Pedro de Atacama, Chile",-24.286,-67.8647,Chile,27,1.4696E+12,7/27/2016 2:43,2,43,7,45,2016
pr16209001,172.8,3.6,199,163,0.36561432,"4km W of Salvaleon de Higuey, Dominican Republic",18.6138,-68.7526,Dominican Republic,27,1.4696E+12,7/27/2016 3:00,3,0,7,19,2016
ci37640640,126,0.28,1,3.93,0.04043,"6km NE of Little Lake, CA",35.9758333,-117.8596667,California,27,1.4696E+12,7/27/2016 3:02,3,2,7,18,2016
ak13831349,79.19999366,1.2,22,20.2,0.2461384,"47km W of Valdez, Alaska",61.1163,-147.2352,Alaska,27,1.4696E+12,7/27/2016 3:06,3,6,7,12,2016
ak13805706,28.7999977,2.3,81,11.6,0.367411,"104km NW of Talkeetna, Alaska",63.0332,-151.4388,Alaska,27,1.4696E+12,7/27/2016 3:09,3,9,7,58,2016
nn00553420,173.77,1.1,19,0.6,0.662,"33km SSE of Bunkerville, Nevada",36.49,-113.9923,Nevada,27,1.4696E+12,7/27/2016 3:18,3,18,7,51,2016
ak13831351,64.79999482,1.5,35,72.2,0.2937491,"32km W of Kalifornsky, Alaska",60.4444,-151.8699,Alaska,27,1.4696E+12,7/27/2016 3:19,3,19,7,23,2016
us10006aa8,248,2.5,96,26.5,1.348,"172km S of False Pass, Alaska",53.302,-163.5048,Alaska,27,1.4696E+12,7/27/2016 3:22,3,22,7,28,2016
ak13831353,75.59999395,1.3,26,64.7,0.3198002,"62km N of Nikiski, Alaska",61.251,-151.3632,Alaska,27,1.4696E+12,7/27/2016 3:25,3,25,7,13,2016
ak13805716,43.19999654,2,62,16.3,0.2578165,"16km W of Y, Alaska",62.1521,-150.1588,Alaska,27,1.4696E+12,7/27/2016 3:32,3,32,7,18,2016
nc72666956,53,1.75,47,1.56,0.0119,"0km E of The Geysers, California",38.7781667,-122.7505,California,27,1.46961E+12,7/27/2016 3:56,3,56,7,19,2016
nc72666961,74,0.62,6,2.25,0.005599,"3km S of Cobb, California",38.7885,-122.7218333,California,27,1.46961E+12,7/27/2016 4:00,4,0,7,49,2016
pr16209003,342,2.7,112,75,1.15972503,"114km NNE of Road Town, British Virgin Islands",19.3997,-64.2795,British Virgin Islands,27,1.46961E+12,7/27/2016 4:04,4,4,7,37,2016
