keyword,cpa,cvr,ctr,clicks,cpc,impressions,var1,var2,var3
low price air,0.18,0.6,3.8,2,$6.54 ,118215,3,4,3
lowest air price,9.72,0.59,3.78,4,$5.63 ,49244,2,2,2
airline flight insurance,0.73,0.62,1.28,1,$2.46 ,104905,3,4,1
lowest air prices,3.74,0.64,2.91,8,$5.81 ,81605,2,2,1
luggage for airlines,2.61,0.56,2.7,9,$5.16 ,20435,2,4,1
luggage bags for us travel,0.24,0.62,3.7,2,$3.20 ,20102,2,1,2
trip insurance coverage,5.7,0.58,1.32,2,$4.46 ,72796,1,4,1
check on luggage,9.11,0.57,2.47,6,$4.36 ,58911,3,4,1
flight insurance coverage,8.89,0.56,2.4,3,$4.32 ,105630,1,3,2
best price airlines,3.58,0.62,1.36,9,$2.15 ,57614,3,4,1
lowest prices on flights,9.28,0.68,1.59,1,$1.75 ,51390,2,5,2
america air ticket price,4.39,0.64,3.13,1,$1.52 ,90065,1,1,0
purchase flight insurance,1.01,0.64,1.28,4,$4.80 ,101046,2,2,1
travel insurance airline,3.92,0.58,2.06,8,$4.56 ,42919,3,3,2
trip insurance flight,1.79,0.53,2.24,3,$3.97 ,89343,2,1,3
us airlines flights,2.53,0.53,3.91,9,$6.37 ,96074,1,2,2
best airline ticket prices,6.77,0.55,4,3,$3.81 ,23383,2,1,0
airline travel insurance,1.98,0.68,2.93,8,$4.96 ,32987,1,1,0
best airline prices,8.55,0.64,3.06,10,$5.97 ,114510,2,1,1
a airlines tickets,6.26,0.53,1.29,5,$5.80 ,45395,2,3,3
trip insurance for flights,8.8,0.68,2.25,1,$2.21 ,71426,3,4,0
insurance for flights,2.6,0.54,3.32,7,$3.54 ,30828,1,5,3
how to buy flight insurance,2.97,0.53,2.63,4,$4.71 ,22079,3,4,3
airline ticket insurance,1.57,0.64,2.55,3,$4.58 ,55070,2,3,3
low rate airlines,2.61,0.63,3.1,7,$1.96 ,56876,3,2,0
low price tickets airline,9.48,0.56,1.66,2,$2.31 ,109731,2,1,0
low price airlines,8.34,0.62,1.92,3,$1.24 ,62702,3,2,1
lowest prices for flights,5.53,0.52,1.86,4,$1.54 ,34494,3,4,3
america flight ticket,4.03,0.54,3.35,4,$6.09 ,26116,2,4,2
ticket best price,3.14,0.63,2.16,8,$3.32 ,91340,2,4,3
low price tickets,0.39,0.52,2.97,10,$4.94 ,38299,1,4,0
how to get flight insurance,1.58,0.67,3.53,3,$5.55 ,117803,1,2,3
us travel bag size,9.64,0.68,1.67,4,$6.16 ,77231,2,2,2
lowest price in flight,9.47,0.67,3.49,9,$6.60 ,36125,2,3,3
flight trip insurance,1.43,0.68,1.44,8,$1.24 ,102416,1,3,0
