keyword,campaign,clicks,ctr,cvr,cpa,impressions
ticket best price,1,8,2.16,0.63,3.14,91340
us airlines flights,1,9,3.91,0.53,2.53,96074
purchase flight insurance,1,4,1.28,0.64,1.01,101046
flight trip insurance,1,8,1.44,0.68,1.43,102416
airline flight insurance,1,1,1.28,0.62,0.73,104905
flight insurance coverage,1,3,2.4,0.56,8.89,105630
low price tickets airline,1,2,1.66,0.56,9.48,109731
best airline prices,1,10,3.06,0.64,8.55,114510
how to get flight insurance,1,3,3.53,0.67,1.58,117803
low price air,1,2,3.8,0.6,0.18,118215
ticket best price,2,9,2.7,0.56,2.61,91340
us airlines flights,2,2,3.7,0.62,0.24,96074
purchase flight insurance,2,2,1.32,0.58,5.7,101046
flight trip insurance,2,6,2.47,0.57,9.11,102416
airline flight insurance,2,3,2.4,0.56,8.89,104905
flight insurance coverage,2,9,1.36,0.62,3.58,105630
low price tickets airline,2,1,1.59,0.68,9.28,109731
best airline prices,2,1,3.13,0.64,4.39,114510
how to get flight insurance,2,4,1.28,0.64,1.01,117803
low price air,2,8,2.06,0.58,3.92,118215
ticket best price,3,3,2.24,0.53,1.79,91340
us airlines flights,3,9,3.91,0.53,2.53,96074
purchase flight insurance,3,3,4,0.55,6.77,101046
flight trip insurance,3,8,2.93,0.68,1.98,102416
airline flight insurance,3,10,3.06,0.64,8.55,104905
flight insurance coverage,3,5,1.29,0.53,6.26,105630
low price tickets airline,3,1,2.25,0.68,8.8,109731
best airline prices,3,7,3.32,0.54,2.6,114510
how to get flight insurance,3,4,2.63,0.53,2.97,117803
low price air,3,3,2.55,0.64,1.57,118215
